Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,Location
KING FARM WINE & BEER,"402 KING FARM BLVD., UNIT 100",ROCKVILLE,MD,20850,DBW036,On/Off-Premise,"FLORES ENTERPRISES, LLC","402 KING FARM BLVD., UNIT 100
ROCKVILLE, MD 20850
(39.113878, -77.172402)"
HOLA BEER & WINE,"8035 SNOUFFER SCHOOL ROAD, #H",GAITHERSBURG,MD,20879,DBW139,On/Off-Premise,BOB'S 168 INC.,"8035 SNOUFFER SCHOOL ROAD, #H
GAITHERSBURG, MD 20879
(39.160773, -77.163002)"
FIVE STAR PREMIER RESIDENCES OF CC,8100 CONNECTICUT AVE,CHEVY CHASE,MD,20815,BBWLHR693,On Premise,"FVE MANAGERS, INC.","8100 CONNECTICUT AVE
CHEVY CHASE, MD 20815
(38.993052, -77.077248)"
"CURACION NAILS, BODY AND SUCCESS",11308 GRANDVIEW AVE SUITE 200,SILVER SPRING,MD,20902,SBSBW23227,On Premise,CURACION NAILS BODY & SUCSESS SANT,"11308 GRANDVIEW AVE SUITE 200
SILVER SPRING, MD 20902
(39.04096, -77.053105)"
OLNEY GRILLE,3464 OLNEY LAYTONSVILLE ROAD,OLNEY,MD,20832,BBWLHR267,On Premise,"OLNEY GRILLE, INC.","3464 OLNEY LAYTONSVILLE ROAD
OLNEY, MD 20832
(39.153711, -77.068041)"
FINNEGAN'S WAKE IRISH PUB,100-F GIBBS STREET,ROCKVILLE,MD,20850,BBWLHR21337,On Premise,"FINNEGAN'S WAKE IRISH PUB,LLC","100-F GIBBS STREET
ROCKVILLE, MD 20850
(39.086065, -77.151972)"
GENTLEMAN JIM'S RESTAURANT,18917 EARHART COURT,GAITHERSBURG,MD,20879,BBWLHR266,On Premise,"GENTLEMAN'S, INC.","18917 EARHART COURT
GAITHERSBURG, MD 20879
(39.167351, -77.172918)"
TANDOORI NIGHTS - BETHESDA,7236 WOODMONT AVE,BETHESDA,MD,20814,BBWLHR671,On Premise,"TANDOORI NIGHTS BETHESDA, LLC","7236 WOODMONT AVE
BETHESDA, MD 20814
(38.981839, -77.096017)"
VFW POST 2562,11316 FERN STREET,SILVER SPRING,MD,20902,CBWLFV001,On Premise,SILVER SPRING MEMORIAL VFW,"11316 FERN STREET
SILVER SPRING, MD 20902
(39.040787, -77.049442)"
THAI PAVILION,"29 MARYLAND AVE, SUITE 308",ROCKVILLE,MD,20850,BBWLHR225,On Premise,"THAITANIUM,LLC","29 MARYLAND AVE, SUITE 308
ROCKVILLE, MD 20850
(39.086378, -77.151052)"
LA MALINCHE,8622 COLESVILLE ROAD,SILVER SPRING,MD,20910,BBWLHR750,On Premise,"BSZ & BROTHERS, LLC","8622 COLESVILLE ROAD
SILVER SPRING, MD 20910
(38.99664, -77.027678)"
RADISSON HOTEL DC - ROCKVILLE,3 RESEARCH COURT,ROCKVILLE,MD,20850,BBWLHM23744,On Premise,AIL HOSPITALITY LLC,"3 RESEARCH COURT
ROCKVILLE, MD 20850
(39.107734, -77.187044)"
HWA GAE JANG TUH,2104 VEIRS MILL ROAD,ROCKVILLE,MD,20851,BBWLHR524,On Premise,"PIAO & LIANG COMPANY, INC","2104 VEIRS MILL ROAD
ROCKVILLE, MD 20851
(39.074989, -77.11546)"
RED LOBSTER RESTAURANT,15700 SHADY GROVE ROAD,GAITHERSBURG,MD,20877,BBWLHR065,On Premise,"RL MARYLAND, INC.","15700 SHADY GROVE ROAD
GAITHERSBURG, MD 20877
(39.113282, -77.186629)"
LA FERME,7101 BROOKVILLE ROAD,CHEVY CHASE,MD,20815,BBWLHR228,On Premise,LA FERME INCORPORATED,"7101 BROOKVILLE ROAD
CHEVY CHASE, MD 20815
(38.981284, -77.071491)"
BONEFISH GRILL,82 MARKET STREET,GAITHERSBURG,MD,20878,BBWLHR143,On Premise,"BONEFISH OF GAITHERSBURG, INC.","82 MARKET STREET
GAITHERSBURG, MD 20878
(39.123892, -77.234892)"
T.G.I. FRIDAY'S - ROCKVILLE,12147 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR016,On Premise,TGI FRIDAY'S OF ROCKVILLE INC.,"12147 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.05772, -77.120353)"
APPLEBEE'S,21048 FREDERICK ROAD,GERMANTOWN,MD,20876,BBWLHR645,On Premise,POTOMAC FAMILY DINING GROUP,"21048 FREDERICK ROAD
GERMANTOWN, MD 20876
(39.201882, -77.245624)"
MINERVA INDIAN CUISINE,16240 FREDERICK ROAD,GAITHERSBURG,MD,20877,BBWLHR054,On Premise,MINERVA HOSPITALITY,"16240 FREDERICK ROAD
GAITHERSBURG, MD 20877
(39.121379, -77.176015)"
NAGOYA SUSHI,"402 KING FARM BLVD., #130",ROCKVILLE,MD,20850,HBW174,On Premise,"TAN'S RESTAURANT GROUP, LLC","402 KING FARM BLVD., #130
ROCKVILLE, MD 20850
(39.113878, -77.172402)"
METRO BEER & WINE,15921 FREDERICK ROAD,ROCKVILLE,MD,20855,ABW285,Off Premise,"VEER BEVERAGES, LLC","15921 FREDERICK ROAD
ROCKVILLE, MD 20855
(39.116496, -77.167542)"
CHIPOTLE MEXICAN GRILL - SS,907 ELLSWORTH DRIVE,SILVER SPRING,MD,20910,BBWLHR542,On Premise,CHIPTOLE MEXICAN GRILL OF MARY,"907 ELLSWORTH DRIVE
SILVER SPRING, MD 20910
(38.995935, -77.026411)"
GESTE FOODS & WINE,4801 EDGEMOOR LANE,BETHESDA,MD,20814,ABW268,Off Premise,"GESTE FOODS AND WINES, LLC","4801 EDGEMOOR LANE
BETHESDA, MD 20814
(38.98486, -77.095636)"
"TRAN DINH BEER,WINE & DELI","20 MONTGOMERY VILLAGE AVE, UNIT D",GAITHERSBURG,MD,20879,DBW141,On/Off-Premise,"TRAN DINH BEER,WINE, & DELI, I","20 MONTGOMERY VILLAGE AVE, UNIT D
GAITHERSBURG, MD 20879
(39.155093, -77.208527)"
POLLO BRASERO REST. & CARRYOUT,14336 LAYHILL ROAD,SILVER SPRING,MD,20906,HBW246,On Premise,"JULROC, INC.","14336 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.091027, -77.044969)"
EL SITIO RESTAURANT,8210 PINEY BRANCH ROAD,SILVER SPRING,MD,20910,BBWLHR437,On Premise,"J.B. MARTINEZ, INC.","8210 PINEY BRANCH ROAD
SILVER SPRING, MD 20910
(38.993183, -77.009346)"
BRANDED 72,387 EAST GUDE DRIVE,ROCKVILLE,MD,20850,BBWLHR516,On Premise,"OB RANCH TRADING CO., LLC","387 EAST GUDE DRIVE
ROCKVILLE, MD 20850
(39.106325, -77.148787)"
LOS CHORROS RESTAURANT,2420 BLUERIDGE AVE,SILVER SPRING,MD,20902,BBWLHR173,On Premise,BLUERIDGE 2420 INC.,"2420 BLUERIDGE AVE
SILVER SPRING, MD 20902
(39.043091, -77.051731)"
COURTYARD BY MARRIOTT - GAITH,204 BOARDWALK PLACE,GAITHERSBURG,MD,20878,BBWLHM018,On Premise,COURTYARD MANAGEMENT CORPORATI,"204 BOARDWALK PLACE
GAITHERSBURG, MD 20878
(39.116607, -77.198084)"
ASADUR'S MARKET,5536 RANDOLPH ROAD,ROCKVILLE,MD,20852,ABW239,Off Premise,"MEHRANIAN, LLC","5536 RANDOLPH ROAD
ROCKVILLE, MD 20852
(39.053298, -77.112104)"
TALBOTT BEER & WINE,1071 ROCKVILLE PIKE,ROCKVILLE,MD,20852,ABW047,Off Premise,"ARESTI, INC.","1071 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07085, -77.132063)"
AMERICAN TAP ROOM - ROCKVILLE,36-A MARYLAND AVENUE,ROCKVILLE,MD,20850,BBWLHR837,On Premise,"FOOD3GROUP, LLC","36-A MARYLAND AVENUE
ROCKVILLE, MD 20850
(39.085377, -77.150979)"
VILLA MAYA RESTAURANT,5532 NORBECK ROAD,ROCKVILLE,MD,20853,BBWLHR628,On Premise,SOL MAYA CORPORATION,"5532 NORBECK ROAD
ROCKVILLE, MD 20853
(39.095753, -77.110784)"
FINE CUISINE CATERING,"13000 WISTERIA DRIVE, UNIT B",GERMANTOWN,MD,20874,CATBWL007,On Premise,"FINE CUISINE, INC.","13000 WISTERIA DRIVE, UNIT B
GERMANTOWN, MD 20874
(39.177529, -77.271155)"
HILTON WASHINGTON DC N GAITHERSBURG,620 PERRY PARKWAY,GAITHERSBURG,MD,20877,BBWLHM013,On Premise,PERRY PARKWAY HOTEL ASSOC.OP.,"620 PERRY PARKWAY
GAITHERSBURG, MD 20877
(39.14864, -77.213005)"
MICHAEL'S NOODLES,10038 DARNESTOWN ROAD,ROCKVILLE,MD,20850,HBW182,On Premise,"MICHAEL'S NOODLES, INC.","10038 DARNESTOWN ROAD
ROCKVILLE, MD 20850
(39.09698, -77.20685)"
COPPER CANYON GRILL - GAITHERSBURG,100 BOARDWALK PLACE,GAITHERSBURG,MD,20877,BBWLHR340,On Premise,"CANYON GRILL ENTERPRISES, LLC","100 BOARDWALK PLACE
GAITHERSBURG, MD 20877
(39.11681, -77.19978)"
MASA HIBACHI STEAKHOUSE & SUSHI,"921 ELLSWORTH DRIVE, UNIT J",SILVER SPRING,MD,20910,BBWLHR705,On Premise,JE DING COROPORATION,"921 ELLSWORTH DRIVE, UNIT J
SILVER SPRING, MD 20910
(38.995603, -77.026805)"
LILY'S PLACE,11305 ELKIN STREET,WHEATON,MD,20902,BBWLHR347,On Premise,"LILY'S PLACE, INC","11305 ELKIN STREET
WHEATON, MD 20902
(39.040427, -77.050363)"
"OLLIE'S BEER, WINE AND DELI",2011-A VIERS MILL ROAD,ROCKVILLE,MD,20851,ABW287,Off Premise,"SREYPICH, LLC","2011-A VIERS MILL ROAD
ROCKVILLE, MD 20851
(39.075193, -77.116458)"
"ARIA, BEER, WINE & DELI",4800 AUBURN AVENUE,BETHESDA,MD,20814,ABW280,Off Premise,"MARKET AT GALLERY, INC.","4800 AUBURN AVENUE
BETHESDA, MD 20814
(38.990813, -77.099129)"
MILLER'S ALE HOUSE,1471 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR740,On Premise,"MILLER'S MONT. CO. ALE HOUSE,","1471 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.06563, -77.12722)"
EL GAVILAN RESTAURANT,8805 FLOWER AVE,SILVER SPRING,MD,20901,BBWLHR227,On Premise,ABY & ASSOCIATES LTD.,"8805 FLOWER AVE
SILVER SPRING, MD 20901
(38.99984, -77.003981)"
COUNTRY BOY BEER & WINE,2211 RANDOLPH ROAD,SILVER SPRING,MD,20902,ABW140,Off Premise,THOMAS BARNSLEY & JAMES BARNSL,"2211 RANDOLPH ROAD
SILVER SPRING, MD 20902
(39.059411, -77.04736)"
N-TILTED KILT,11160 VEIRS MILL RD,WHEATON,MD,20902,BBWLHR24273,On Premise,"AC RESTAURANTS WHEATON, LLC","11160 VEIRS MILL RD
WHEATON, MD 20902
(39.038177, -77.052681)"
KALDI'S COFFEE,918 SILVER SPRING AVENUE,SILVER SPRING,MD,20910,BBWLHR22788,On Premise,KALDI'S INC,"918 SILVER SPRING AVENUE
SILVER SPRING, MD 20910
(38.991616, -77.025703)"
CHINA CANTEEN,808 HUNGERFORD DRIVE,ROCKVILLE,MD,20850,HBW031,On Premise,"CHINA MASTER,INC.","808 HUNGERFORD DRIVE
ROCKVILLE, MD 20850
(39.094801, -77.153222)"
CHEVY CHASE CLUB,6100 CONNECTICUT AVE,CHEVY CHASE,MD,20815,CBWLCC008,On Premise,"CHEVY CHASE CLUB, INC.","6100 CONNECTICUT AVE
CHEVY CHASE, MD 20815
(38.972797, -77.077201)"
FOUND. FOR ADV. EDUC. IN SCIENCES,9101 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,CBWLFV003,On Premise,FOUNDATION FOR ADV. EDUC. IN T,"9101 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(39.004899, -77.110773)"
OUTBACK STEAKHOUSE - SILVER SPRING,13703 GEORGIA AVE,SILVER SPRING,MD,20906,BBWLHR472,On Premise,"OUTBACK OF ASPEN HILL, INC.","13703 GEORGIA AVE
SILVER SPRING, MD 20906
(39.080206, -77.074327)"
VASILIS MEDITERRANEAN GRILL,353 MAIN STREET,GAITHERSBURG,MD,20878,HBW019,On Premise,"VASILIS KENTLAND, INC","353 MAIN STREET
GAITHERSBURG, MD 20878
(39.121264, -77.237612)"
NEEDWOOD GOLF COURSE,6724 NEEDWOOD ROAD,DERWOOD,MD,20855,HBW229,On Premise,MONTGOMERY CO. REV.AUTHORITY,"6724 NEEDWOOD ROAD
DERWOOD, MD 20855
(39.122971, -77.1365)"
RED ROBIN,20001 CENTURY BLVD,GERMANTOWN,MD,20874,BBWLHR332,On Premise,RED ROBIN OF MONTGOMERY CO INC,"20001 CENTURY BLVD
GERMANTOWN, MD 20874
(39.184088, -77.260943)"
K TOWN BISTRO,3784 HOWARD AVE,KENSINGTON,MD,20895,BKBWHR002,On Premise,"K TOWN BISTRO, LLC","3784 HOWARD AVE
KENSINGTON, MD 20895
(39.027822, -77.074112)"
SUSHI HOUSE,"1331 ROCKVILLE PIKE, UNIT D",ROCKVILLE,MD,20852,HBW214,On Premise,"SUSHI HOUSE, INC.","1331 ROCKVILLE PIKE, UNIT D
ROCKVILLE, MD 20852
(39.06857, -77.129875)"
POTOMAC PIZZA - TRAVILLE,9709 TRAVILLE GATEWAY DRIVE,ROCKVILLE,MD,20850,BBWLHR449,On Premise,"TRAVILLE, LLC","9709 TRAVILLE GATEWAY DRIVE
ROCKVILLE, MD 20850
(39.091394, -77.204308)"
WILDWOOD KITCHEN,10223 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,BBWLHR744,On Premise,"RW FRIT WILDWOOD, LLC","10223 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(39.022969, -77.123843)"
SEASON'S 52,11414 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR638,On Premise,"GMR MONTGOMERY COUNTY, INC","11414 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.043196, -77.111151)"
EL ESTERON RESTAURANT,8500 DAKOTA DRIVE,GAITHERSBURG,MD,20878,DBW134,On/Off-Premise,"EL ESTERON RESTAURANT, INC.","8500 DAKOTA DRIVE
GAITHERSBURG, MD 20878
(39.127172, -77.176171)"
BELBY DISCOUNT BEER & WINE,888 ROCKVILLE PIKE,ROCKVILLE,MD,20852,DBW109,On/Off-Premise,"CKCE, INC","888 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.074677, -77.135929)"
RODMAN'S GOURMET BEER & WINE,5148 NICHOLSON LANE,KENSINGTON,MD,20895,DBW002,On/Off-Premise,"W.F.F.& B., INC.","5148 NICHOLSON LANE
KENSINGTON, MD 20895
(39.045102, -77.105555)"
SHOPPERS FOOD WAREHOUSE,18066 MATENY ROAD,GERMANTOWN,MD,20874,DBW013,On/Off-Premise,SHOPPERS FOOD WAREHOUSE CORP.,"18066 MATENY ROAD
GERMANTOWN, MD 20874
(39.146999, -77.272673)"
HICKORY BAR & GRILL,15420 OLD COLUMBIA PIKE #B,BURTONSVILLE,MD,20866,BBWLHR22789,On Premise,"KIARA, LLC","15420 OLD COLUMBIA PIKE #B
BURTONSVILLE, MD 20866
(39.108781, -76.936057)"
THE BUKHARA,9736 TRAVILLE GATEWAY DRIVE,ROCKVILLE,MD,20850,BBWLHR19312,On Premise,"BTS, LLC","9736 TRAVILLE GATEWAY DRIVE
ROCKVILLE, MD 20850
(39.091824, -77.203927)"
OUTBACK STEAKHOUSE - GERMANTOWN,12609 WISTERIA DRIVE,GERMANTOWN,MD,20874,BBWLHR471,On Premise,"OUTBACK OF GERMANTOWN, INC.","12609 WISTERIA DRIVE
GERMANTOWN, MD 20874
(39.17007, -77.261826)"
KNIGHTS OF COLUMBUS #2169,9707 ROSENSTEEL AVE,SILVER SPRING,MD,20910,CBWLFV007,On Premise,FATHER ROSENSTEEL KNIGHTS OF COLUMBUS CLUBHOUSE ASSOCIATION,"9707 ROSENSTEEL AVE
SILVER SPRING, MD 20910
(39.015852, -77.050818)"
LA MADELEINE - CROWN,242 CROWN PARK AVENUE,GAITHERSBURG,MD,20878,BBWLHR859,On Premise,"LA MADELEINE OF MD, LLC","242 CROWN PARK AVENUE
GAITHERSBURG, MD 20878
(39.145842, -77.194384)"
HILLANDALE BEER & WINE,10117 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20903,ABW183,Off Premise,SATH INC.,"10117 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20903
(39.020761, -76.976693)"
LA CASA DEL MOFONGO,"9441 GEORGIA AVE, # 4",SILVER SPRING,MD,20910,BBWLHR786,On Premise,"LA CASA DEL MOFONGO, LLC.","9441 GEORGIA AVE, # 4
SILVER SPRING, MD 20910
(39.009433, -77.040516)"
EL CHANGARRO,107-B EAST DIAMOND AVENUE,GAITHERSBURG,MD,20877,DBW23613,On/Off-Premise,DELMA CORP,"107-B EAST DIAMOND AVENUE
GAITHERSBURG, MD 20877
(39.141933, -77.195635)"
FINEWINE.COM,20 GRAND CORNER AVE,GAITHERSBURG,MD,20878,DBW24475,On/Off-Premise,"FINEWINE.COM,INC","20 GRAND CORNER AVE
GAITHERSBURG, MD 20878
(39.118713, -77.202358)"
REDWOOD,7121 BETHESDA LANE,BETHESDA,MD,20814,BBWLHR485,On Premise,"INDEPENDENT CONCEPTS, LLC","7121 BETHESDA LANE
BETHESDA, MD 20814
(38.98184, -77.097727)"
THE CHEESECAKE FACTORY,7101 DEMOCRACY BOULEVARD,BETHESDA,MD,20817,BBWLHR816,On Premise,"THE CHEESECAKE FACT. REST.,INC","7101 DEMOCRACY BOULEVARD
BETHESDA, MD 20817
(39.0242, -77.1459)"
KAO THAI RESTAURANT,8650 COLESVILLE ROAD,SILVER SPRING,MD,20910,DBW137,On Premise,"KAO THAI, LLC","8650 COLESVILLE ROAD
SILVER SPRING, MD 20910
(38.997104, -77.027346)"
KIN DA,6923 LAUREL AVENUE,TAKOMA PARK,MD,20912,HBW19789,On Premise,"PRASOBSUK, INC.","6923 LAUREL AVENUE
TAKOMA PARK, MD 20912
(38.97404, -77.01264)"
SAPHIRE,7940 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHR334,On Premise,"OK, INC.","7940 WISCONSIN AVE
BETHESDA, MD 20814
(38.990332, -77.09556)"
UPCOUNTY FINE WINE & BEER,23229 STRINGTOWN ROAD,CLARKSBURG,MD,20871,ABWS240,Off Premise,ESHAAN LLC,"23229 STRINGTOWN ROAD
CLARKSBURG, MD 20871
(39.238487, -77.276366)"
PAUL KEE,"11305 GEORGIA AVE, UNIT B",SILVER SPRING,MD,20902,HBW300,On Premise,"CWL RESTUARANT, INC.","11305 GEORGIA AVE, UNIT B
SILVER SPRING, MD 20902
(39.040455, -77.051351)"
MOA RESTAURANT,12300 WILKINS AVE,ROCKVILLE,MD,20852,BBWLHR678,On Premise,"MOA RESTAURANT, INC","12300 WILKINS AVE
ROCKVILLE, MD 20852
(39.058047, -77.112918)"
SICHUAN JIN RIVER,410 HUNGERFORD DRIVE,ROCKVILLE,MD,20850,HBW247,On Premise,GOLDEN SPRING INTERNATIONAL CO,"410 HUNGERFORD DRIVE
ROCKVILLE, MD 20850
(39.088102, -77.150726)"
IKKO,1215 EAST-WEST HIGHWAY,SILVER SPRING,MD,20910,DBW124,On/Off-Premise,"POMEGRANATE, INC.","1215 EAST-WEST HIGHWAY
SILVER SPRING, MD 20910
(38.990346, -77.029301)"
MARUICHI,1047 ROCKVILLE PIKE,ROCKVILLE,MD,20852,DBW053,On/Off-Premise,MARUICHI INC.,"1047 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.070975, -77.132181)"
POTOMAC PIZZA - CHEVY CHASE,19 WISCONSIN CIRCLE,CHEVY CHASE,MD,20815,BBWLHR411,On Premise,"PIZZA ZONE OF CHEVY CHASE, INC","19 WISCONSIN CIRCLE
CHEVY CHASE, MD 20815
(38.962057, -77.085606)"
GUI LIN RESTAURANT,10054 DARNESTOWN ROAD,ROCKVILLE,MD,20850,HBW072,On Premise,K.K. LEE INC.,"10054 DARNESTOWN ROAD
ROCKVILLE, MD 20850
(39.096998, -77.206961)"
CRISTINA'S ITALIAN RISTORANTE,"2666 UNIVERSITY BLVD, WEST",SILVER SPRING,MD,20902,BBWLHR196,On Premise,"KONTOS, INC.","2666 UNIVERSITY BLVD, WEST
SILVER SPRING, MD 20902
(39.040322, -77.054724)"
L'ACADEMIE DE CUISINE - BETHESDA,5021 WILSON LANE,BETHESDA,MD,20814,SCSBW001,On Premise,"L'ACADEMIE DE CUISINE, INC.","5021 WILSON LANE
BETHESDA, MD 20814
(38.987324, -77.099566)"
SUPER BOWL NOODLE HOUSE,785-G ROCKVILLE PIKE,ROCKVILLE,MD,20852,HBW328,On Premise,"SML NOODLE HOUSE, INC","785-G ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.077229, -77.139818)"
RATTLEWOOD GOLF COURSE,13501 PENN SHOP ROAD,MOUNT AIRY,MD,21771,HBW186,On Premise,MONT.CO. REVENUE AUTHORITY,"13501 PENN SHOP ROAD
MOUNT AIRY, MD 21771
(39.34468, -77.192858)"
SUMMER HOUSE,11825 GRANDPARK AVENUE,ROCKVILLE,MD,20852,BBWLHR873,On Premise,"ROCKVILLE RESTAURANT,LLC","11825 GRANDPARK AVENUE
ROCKVILLE, MD 20852
(39.049841, -77.117195)"
MI RANCHO - GERMANTOWN,"19725 GERMANTOWN ROAD, UNIT A",GERMANTOWN,MD,20874,BBWLHR145,On Premise,19725A INC.,"19725 GERMANTOWN ROAD, UNIT A
GERMANTOWN, MD 20874
(39.180367, -77.263863)"
KAPNOS KOUZINA,4900 HAMPDEN LANE,BETHESDA,MD,20814,BBWLHR23924,On Premise,"BETHKAP, LLC","4900 HAMPDEN LANE
BETHESDA, MD 20814
(38.982694, -77.096334)"
"POOLESVILLE BEER, WINE & DELI",19716 FISHER AVE,POOLESVILLE,MD,20837,ABW188,Off Premise,"JOANIE, INC.","19716 FISHER AVE
POOLESVILLE, MD 20837
(39.144975, -77.412784)"
ODALIS,8215 GEORGIA AVE,SILVER SPRING,MD,20910,BBWLHR794,On Premise,"ODALIS RESTAURANT, LLC","8215 GEORGIA AVE
SILVER SPRING, MD 20910
(38.992128, -77.026542)"
CHINA JADE,16805 CRABBS BRANCH WAY,DERWOOD,MD,20855,HBW237,On Premise,"JIN SHENG, INC.","16805 CRABBS BRANCH WAY
DERWOOD, MD 20855
(39.130085, -77.168097)"
BEERS AND CHEERS TOO,678 QUINCE ORCHARD ROAD,GAITHERSBURG,MD,20878,DBW23668,On/Off-Premise,"BEERS & CHEERS TOO, LLC","678 QUINCE ORCHARD ROAD
GAITHERSBURG, MD 20878
(39.139619, -77.22206)"
PI PIZZERIA,7137 WISCONSIN AVENUE,BETHESDA,MD,20814,BBWLHR24738,On Premise,"PI BETHESDA, LLC","7137 WISCONSIN AVENUE
BETHESDA, MD 20814
(38.980665, -77.092358)"
SHOPHOUSE - PIKE,11584 OLD GEORGETOWN ROAD,NORTH BETHESDA,MD,20852,BBWLHR19151,,"SHOPHOUSE MARYLAND, LLC.","11584 OLD GEORGETOWN ROAD
NORTH BETHESDA, MD 20852
(39.048953, -77.117628)"
CAVA MEZZE GRILL- SILVER SPRING,8515 FENTON STREET,SILVER SPRING,MD,20910,BBWLHR24010,On Premise,"CAVA MEZZE GRILL SILVER SPRING, LLC","8515 FENTON STREET
SILVER SPRING, MD 20910
(38.995818, -77.02458)"
AIRPARK BEER AND WINE,"7601 AIRPARK ROAD, UNIT G",GAITHERSBURG,MD,20879,ABWS208,Off Premise,CRUNCHKIDS LLC,"7601 AIRPARK ROAD, UNIT G
GAITHERSBURG, MD 20879
(39.169576, -77.154867)"
TOMMY JOE'S BAR & GRILL,7940 NORFOLK AVENUE,BETHESDA,MD,20814,BBWLHR19871,On Premise,SOCIAL HEIGHTS RESTAURANT LLC,"7940 NORFOLK AVENUE
BETHESDA, MD 20814
(38.989331, -77.09795)"
BARKING MAD CAFE,239 SPECTRUM AVE,GAITHERSBURG,MD,20879,BBWLHR21715,On Premise,"RENEGADES COFFEE COMPANY, LLC","239 SPECTRUM AVE
GAITHERSBURG, MD 20879
(39.15983, -77.221982)"
FISH TACO OF BETHESDA,10305 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,BBWLHR24030,On Premise,"FISH TACO OF BETHESDA, INC","10305 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(39.024851, -77.125197)"
LAHINCH TAVERN & GRILL,7747 TUCKERMAN LANE,POTOMAC,MD,20854,BBWLHR24688,On Premise,"CLARE, INC","7747 TUCKERMAN LANE
POTOMAC, MD 20854
(39.039261, -77.156227)"
MONTGOMERY COUNTRY CLUB,20908 GOLF VIEW DRIVE,GAITHERSBURG,MD,20882,CBWLCC24652,On Premise,"EAGL BEVERAGE HOLDINGS, LLC","20908 GOLF VIEW DRIVE
GAITHERSBURG, MD 20882
(39.20027, -77.13373)"
KIELBASA FACTORY,1073 ROCKVILLE PIKE,ROCKVILLE,MD,20852,DBW092,On/Off-Premise,"KIELBASA FACTORY, INC.","1073 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.070839, -77.132053)"
DIYA BISTRO,917 QUINCE ORCHARD ROAD,GAITHERSBURG,MD,20878,BBWLHR24863,On Premise,"917, LLC","917 QUINCE ORCHARD ROAD
GAITHERSBURG, MD 20878
(39.127445, -77.237669)"
HELEN'S THE BAR,11120 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR21280,On Premise,"HELEN'S-THE BAR, INC","11120 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.03906, -77.109069)"
TALLY HO RESTUARANT,9923 FALLS RD,POTOMAC,MD,20854,HBW22790,On Premise,TALLY HO,"9923 FALLS RD
POTOMAC, MD 20854
(39.01873, -77.208639)"
WORLD OF BEER,196-B EAST MONTGOMERY AVENUE,ROCKVILLE,MD,20850,BBWLHR22600,On Premise,"WOB ROCKVILLE, LLC","196-B EAST MONTGOMERY AVENUE
ROCKVILLE, MD 20850
(39.08408, -77.150463)"
SPENCERVILLE DELI,2215 SPENCERVILLE RD,SPENCERVILLE,MD,20868,DBW25583,On/Off-Premise,"SPENCERVILLE DELI, LLC","2215 SPENCERVILLE RD
SPENCERVILLE, MD 20868
(39.116415, -76.965577)"
MELLOW MUSHROOM,33 MARYLAND AVENUE,ROCKVILLE,MD,20850,DBWLHR22664,On Premise,"SITA RESTAURANTS, LLC","33 MARYLAND AVENUE
ROCKVILLE, MD 20850
(39.085575, -77.150996)"
N-GALLERY MARKET & CAFE,11710 OLD GEORGETOWN ROAD,ROCKVILLE,MD,20852,ABW26094,Off Premise,"HARVEY CROP, INC.","11710 OLD GEORGETOWN ROAD
ROCKVILLE, MD 20852
(39.049768, -77.113264)"
KENTLAND'S PLACE BEER & WINE,78 MARKET STREET,GAITHERSBURG,MD,20878,ABWS23801,Off Premise,"KENTLAND'S LEE, LLC","78 MARKET STREET
GAITHERSBURG, MD 20878
(39.123646, -77.234835)"
SAMOVAR,201 N. WASHINGTON STREET,ROCKVILLE,MD,20850,BBWLHR21341,On Premise,IKBOL LLC,"201 N. WASHINGTON STREET
ROCKVILLE, MD 20850
(39.086088, -77.152969)"
ARADA MARKET,6844 NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912,ABW24781,Off Premise,"ARADA INTERNATIONAL FOOD CORP, INC","6844 NEW HAMPSHIRE AVE
TAKOMA PARK, MD 20912
(38.97431, -76.995421)"
